industry,product_id,handle,source_tag
urgent-care,8651920441560,3-5mm-ss-disposable-trocar-long-shaft-b1714,industry:urgent-care
clinics-doctors-offices,8651920474328,3-5mm-ss-disposable-trocar-short-shaft-each-b9178,industry:clinic
hrt-clinics,8651920474328,3-5mm-ss-disposable-trocar-short-shaft-each-b9178,industry:hrt-surgery
urgent-care,8651920474328,3-5mm-ss-disposable-trocar-short-shaft-each-b9178,industry:urgent-care
clinics-doctors-offices,8651920507096,3-5mm-ss-disposable-trocar-long-shaft-case-b1714c,industry:clinic
hrt-clinics,8651920507096,3-5mm-ss-disposable-trocar-long-shaft-case-b1714c,industry:hrt-surgery
urgent-care,8651920507096,3-5mm-ss-disposable-trocar-long-shaft-case-b1714c,industry:urgent-care
clinics-doctors-offices,8651920638168,3-5mm-stainless-steel-diamond-tip-trocar-tray-kit-with-antiseptic-medium-glove-b1555,industry:clinic
hrt-clinics,8651920638168,3-5mm-stainless-steel-diamond-tip-trocar-tray-kit-with-antiseptic-medium-glove-b1555,industry:hrt-surgery
urgent-care,8651920638168,3-5mm-stainless-steel-diamond-tip-trocar-tray-kit-with-antiseptic-medium-glove-b1555,industry:urgent-care
clinics-doctors-offices,8651920670936,3-5mm-stainless-steel-pellet-insertion-kit-b1568c,industry:clinic
hrt-clinics,8651920670936,3-5mm-stainless-steel-pellet-insertion-kit-b1568c,industry:hrt-surgery
urgent-care,8651920670936,3-5mm-stainless-steel-pellet-insertion-kit-b1568c,industry:urgent-care
clinics-doctors-offices,8651920736472,3-5mm-stainless-steel-trocar-2cm-tray-kit-with-antiseptic-medium-gloves-b1354,industry:clinic
hrt-clinics,8651920736472,3-5mm-stainless-steel-trocar-2cm-tray-kit-with-antiseptic-medium-gloves-b1354,industry:hrt-surgery
urgent-care,8651920736472,3-5mm-stainless-steel-trocar-2cm-tray-kit-with-antiseptic-medium-gloves-b1354,industry:urgent-care
clinics-doctors-offices,8651920769240,3-5mm-stainless-steel-trocar-tray-kit-with-antiseptic-large-gloves-b1352,industry:clinic
hrt-clinics,8651920769240,3-5mm-stainless-steel-trocar-tray-kit-with-antiseptic-large-gloves-b1352,industry:hrt-surgery
urgent-care,8651920769240,3-5mm-stainless-steel-trocar-tray-kit-with-antiseptic-large-gloves-b1352,industry:urgent-care
clinics-doctors-offices,8651920900312,4-5mm-3-piece-resin-disposable-trocar-kit-b8931,industry:clinic
hrt-clinics,8651920900312,4-5mm-3-piece-resin-disposable-trocar-kit-b8931,industry:hrt-surgery
urgent-care,8651920900312,4-5mm-3-piece-resin-disposable-trocar-kit-b8931,industry:urgent-care
clinics-doctors-offices,8651920965848,4-5mm-stainless-steel-short-shaft-single-use-individual-trocar-only-each-b9179,industry:clinic
hrt-clinics,8651920965848,4-5mm-stainless-steel-short-shaft-single-use-individual-trocar-only-each-b9179,industry:hrt-surgery
urgent-care,8651920965848,4-5mm-stainless-steel-short-shaft-single-use-individual-trocar-only-each-b9179,industry:urgent-care
clinics-doctors-offices,8651921064152,4-5mm-disposable-stainless-steel-diamond-tip-trocar-tray-kit-medium-gloves-b1560,industry:clinic
hrt-clinics,8651921064152,4-5mm-disposable-stainless-steel-diamond-tip-trocar-tray-kit-medium-gloves-b1560,industry:hrt-surgery
urgent-care,8651921064152,4-5mm-disposable-stainless-steel-diamond-tip-trocar-tray-kit-medium-gloves-b1560,industry:urgent-care
clinics-doctors-offices,8651921129688,4-5mm-disposable-stainless-steel-trocar-wrap-kit-b9807,industry:clinic
hrt-clinics,8651921129688,4-5mm-disposable-stainless-steel-trocar-wrap-kit-b9807,industry:hrt-surgery
urgent-care,8651921129688,4-5mm-disposable-stainless-steel-trocar-wrap-kit-b9807,industry:urgent-care
clinics-doctors-offices,8651921195224,4-5mm-resin-trocar-tray-kit-with-antiseptic-medium-gloves-b1362,industry:clinic
hrt-clinics,8651921195224,4-5mm-resin-trocar-tray-kit-with-antiseptic-medium-gloves-b1362,industry:hrt-surgery
urgent-care,8651921195224,4-5mm-resin-trocar-tray-kit-with-antiseptic-medium-gloves-b1362,industry:urgent-care
clinics-doctors-offices,8651921326296,4-5mm-resin-trocar-wrapped-kit-with-antiseptic-medium-glove-b8120,industry:clinic
hrt-clinics,8651921326296,4-5mm-resin-trocar-wrapped-kit-with-antiseptic-medium-glove-b8120,industry:hrt-surgery
urgent-care,8651921326296,4-5mm-resin-trocar-wrapped-kit-with-antiseptic-medium-glove-b8120,industry:urgent-care
clinics-doctors-offices,8651921391832,4-5mm-resin-trocar-wrapped-kit-with-chlorascrub-tegaderm-large-glove-b8121,industry:clinic
hrt-clinics,8651921391832,4-5mm-resin-trocar-wrapped-kit-with-chlorascrub-tegaderm-large-glove-b8121,industry:hrt-surgery
urgent-care,8651921391832,4-5mm-resin-trocar-wrapped-kit-with-chlorascrub-tegaderm-large-glove-b8121,industry:urgent-care
clinics-doctors-offices,8651921457368,4-5mm-ss-disposable-trocar-kit-long-shaft-case-b1715c,industry:clinic
hrt-clinics,8651921457368,4-5mm-ss-disposable-trocar-kit-long-shaft-case-b1715c,industry:hrt-surgery
urgent-care,8651921457368,4-5mm-ss-disposable-trocar-kit-long-shaft-case-b1715c,industry:urgent-care
clinics-doctors-offices,8651921522904,4-5mm-stainless-steel-sharp-wrapped-kit-with-antiseptic-medium-glove-b8124,industry:clinic
hrt-clinics,8651921522904,4-5mm-stainless-steel-sharp-wrapped-kit-with-antiseptic-medium-glove-b8124,industry:hrt-surgery
urgent-care,8651921522904,4-5mm-stainless-steel-sharp-wrapped-kit-with-antiseptic-medium-glove-b8124,industry:urgent-care
clinics-doctors-offices,8651921653976,4-5mm-stainless-steel-trocar-tray-kit-with-antiseptic-medium-gloves-b1365,industry:clinic
hrt-clinics,8651921653976,4-5mm-stainless-steel-trocar-tray-kit-with-antiseptic-medium-gloves-b1365,industry:hrt-surgery
urgent-care,8651921653976,4-5mm-stainless-steel-trocar-tray-kit-with-antiseptic-medium-gloves-b1365,industry:urgent-care
clinics-doctors-offices,8651921686744,complete-hormone-pellet-insertion-kit-without-trocar-wrapped-kit-medium-gloves-b8474,industry:clinic
hrt-clinics,8651921686744,complete-hormone-pellet-insertion-kit-without-trocar-wrapped-kit-medium-gloves-b8474,industry:hrt-surgery
urgent-care,8651921686744,complete-hormone-pellet-insertion-kit-without-trocar-wrapped-kit-medium-gloves-b8474,industry:urgent-care
clinics-doctors-offices,8670729830616,adult-comb-with-handle-6-5-long-black-2655,industry:clinic
home-health,8670729830616,adult-comb-with-handle-6-5-long-black-2655,industry:home-care
clinics-doctors-offices,8671376834776,bar-soap-facial-and-body-3-2-7-oz-individually-wrapped-sp30,industry:clinic
home-health,8671376834776,bar-soap-facial-and-body-3-2-7-oz-individually-wrapped-sp30,industry:home-care
clinics-doctors-offices,8672632832216,adult-comb-with-handle-8-5-8-long-black-2950,industry:clinic
home-health,8672632832216,adult-comb-with-handle-8-5-8-long-black-2950,industry:home-care
clinics-doctors-offices,8679025148120,toothbrush-holder-clear-tbh01c,industry:clinic
home-health,8679025148120,toothbrush-holder-clear-tbh01c,industry:home-care
clinics-doctors-offices,8679169687768,soap-box-hinged-lid-clear-sb01,industry:clinic
home-health,8679169687768,soap-box-hinged-lid-clear-sb01,industry:home-care
clinics-doctors-offices,8679246921944,bar-soap-facial-and-body-1-5-1-35-oz-individually-wrapped-sp15-250,industry:clinic
home-health,8679246921944,bar-soap-facial-and-body-1-5-1-35-oz-individually-wrapped-sp15-250,industry:home-care
clinics-doctors-offices,8679292240088,bar-soap-facial-and-body-3-2-7-oz-unwrapped-spu30,industry:clinic
home-health,8679292240088,bar-soap-facial-and-body-3-2-7-oz-unwrapped-spu30,industry:home-care
clinics-doctors-offices,8679378976984,cotton-tipped-wood-applicators-3-2-pack-sterile-9013,industry:clinic
urgent-care,8679378976984,cotton-tipped-wood-applicators-3-2-pack-sterile-9013,industry:urgent-care
clinics-doctors-offices,8679913488600,nail-brush-nb3381,industry:clinic
home-health,8679913488600,nail-brush-nb3381,industry:home-care
clinics-doctors-offices,8680023458008,heat-reflective-survival-wrap-52-x-84-silver-721,industry:clinic
urgent-care,8680023458008,heat-reflective-survival-wrap-52-x-84-silver-721,industry:urgent-care
clinics-doctors-offices,8680459043032,zip-bag-6-x-9-clear-zip69,industry:clinic
urgent-care,8680459043032,zip-bag-6-x-9-clear-zip69,industry:urgent-care
clinics-doctors-offices,8681496412376,zip-bag-4-x-4-clear-zip44,industry:clinic
urgent-care,8681496412376,zip-bag-4-x-4-clear-zip44,industry:urgent-care
clinics-doctors-offices,8681833726168,zip-bag-3-x-4-clear-zip34,industry:clinic
urgent-care,8681833726168,zip-bag-3-x-4-clear-zip34,industry:urgent-care
clinics-doctors-offices,8682020307160,zip-bag-3-x-5-clear-zip35,industry:clinic
urgent-care,8682020307160,zip-bag-3-x-5-clear-zip35,industry:urgent-care
clinics-doctors-offices,8682055827672,zip-bag-10-x-12-clear-zip1012,industry:clinic
urgent-care,8682055827672,zip-bag-10-x-12-clear-zip1012,industry:urgent-care
clinics-doctors-offices,8682113204440,zip-bag-4-x-6-clear-464m,industry:clinic
urgent-care,8682113204440,zip-bag-4-x-6-clear-464m,industry:urgent-care
clinics-doctors-offices,8682210197720,cotton-roll-1-5-x-3-8-27101,industry:clinic
urgent-care,8682210197720,cotton-roll-1-5-x-3-8-27101,industry:urgent-care
clinics-doctors-offices,8682283598040,hair-brush-gray-hb02,industry:clinic
home-health,8682283598040,hair-brush-gray-hb02,industry:home-care
clinics-doctors-offices,8682318856408,soap-box-non-hinged-clear-mildtsub1a12n,industry:clinic
home-health,8682318856408,soap-box-non-hinged-clear-mildtsub1a12n,industry:home-care
clinics-doctors-offices,8682355687640,fingernail-clipper-fnc3275,industry:clinic
home-health,8682355687640,fingernail-clipper-fnc3275,industry:home-care
home-health,8682578575576,emery-board-4-5-eb01b,industry:home-care
clinics-doctors-offices,8682664034520,comb-5-black-c5,industry:clinic
home-health,8682664034520,comb-5-black-c5,industry:home-care
clinics-doctors-offices,8682718003416,soap-bar-3-4-0-675-oz-individually-wrapped-sp75-500,industry:clinic
home-health,8682718003416,soap-bar-3-4-0-675-oz-individually-wrapped-sp75-500,industry:home-care
clinics-doctors-offices,8682756145368,instant-cold-pack-4-x-5-9851,industry:clinic
home-health,8682756145368,instant-cold-pack-4-x-5-9851,industry:home-care
clinics-doctors-offices,8682944069848,fluff-underpad-23-x-36-12436,industry:clinic
home-health,8682944069848,fluff-underpad-23-x-36-12436,industry:home-care
clinics-doctors-offices,8688404955352,quickvue-at-home-otc-covid-19-test-rapid-results-25-test-kit-qui-20398,industry:clinic
pharmacies,8688404955352,quickvue-at-home-otc-covid-19-test-rapid-results-25-test-kit-qui-20398,industry:pharmacy
urgent-care,8688404955352,quickvue-at-home-otc-covid-19-test-rapid-results-25-test-kit-qui-20398,industry:urgent-care
clinics-doctors-offices,8688449618136,shaving-cream-11-oz-4249,industry:clinic
home-health,8688449618136,shaving-cream-11-oz-4249,industry:home-care
clinics-doctors-offices,8689841275096,denture-adhesive-zinc-free-2-oz-tube-box-da2,industry:clinic
home-health,8689841275096,denture-adhesive-zinc-free-2-oz-tube-box-da2,industry:home-care
clinics-doctors-offices,8690383290584,urs-10-urine-reagent-strips-ua870,industry:clinic
pharmacies,8690383290584,urs-10-urine-reagent-strips-ua870,industry:pharmacy
urgent-care,8690383290584,urs-10-urine-reagent-strips-ua870,industry:urgent-care
clinics-doctors-offices,8690564890840,accutest-splitcup-5-panel-urine-drug-test-ds02ac625,industry:clinic
pharmacies,8690564890840,accutest-splitcup-5-panel-urine-drug-test-ds02ac625,industry:pharmacy
urgent-care,8690564890840,accutest-splitcup-5-panel-urine-drug-test-ds02ac625,industry:urgent-care
clinics-doctors-offices,8690577604824,accutest-h-pylori-test-whole-blood-serum-id392,industry:clinic
pharmacies,8690577604824,accutest-h-pylori-test-whole-blood-serum-id392,industry:pharmacy
urgent-care,8690577604824,accutest-h-pylori-test-whole-blood-serum-id392,industry:urgent-care
clinics-doctors-offices,8690598183128,accutest-tsh-test-md801,industry:clinic
pharmacies,8690598183128,accutest-tsh-test-md801,industry:pharmacy
urgent-care,8690598183128,accutest-tsh-test-md801,industry:urgent-care
clinics-doctors-offices,8691385172184,accutest-h-pylori-test-urease-test-id750,industry:clinic
pharmacies,8691385172184,accutest-h-pylori-test-urease-test-id750,industry:pharmacy
urgent-care,8691385172184,accutest-h-pylori-test-urease-test-id750,industry:urgent-care
clinics-doctors-offices,8691393134808,accutest-ifobt-specimen-collection-kits-cs620,industry:clinic
pharmacies,8691393134808,accutest-ifobt-specimen-collection-kits-cs620,industry:pharmacy
urgent-care,8691393134808,accutest-ifobt-specimen-collection-kits-cs620,industry:urgent-care
clinics-doctors-offices,8691400114392,accutest-valupak-ifobt-cs425,industry:clinic
pharmacies,8691400114392,accutest-valupak-ifobt-cs425,industry:pharmacy
urgent-care,8691400114392,accutest-valupak-ifobt-cs425,industry:urgent-care
clinics-doctors-offices,8691405586648,accutest-mononucleosis-rapid-test-id516,industry:clinic
pharmacies,8691405586648,accutest-mononucleosis-rapid-test-id516,industry:pharmacy
urgent-care,8691405586648,accutest-mononucleosis-rapid-test-id516,industry:urgent-care
clinics-doctors-offices,8691413844184,accutest-nitrazine-phenaphthazine-ph-paper-pf418,industry:clinic
pharmacies,8691413844184,accutest-nitrazine-phenaphthazine-ph-paper-pf418,industry:pharmacy
urgent-care,8691413844184,accutest-nitrazine-phenaphthazine-ph-paper-pf418,industry:urgent-care
clinics-doctors-offices,8691503595736,intoxilyzer-800-handheld-breath-alcohol-tester-ds800i,industry:clinic
urgent-care,8691503595736,intoxilyzer-800-handheld-breath-alcohol-tester-ds800i,industry:urgent-care
clinics-doctors-offices,8691766362328,3-2mm-resin-trocar-tray-kit-with-antiseptic-large-gloves-case-b1144-copy,industry:clinic
hrt-clinics,8691766362328,3-2mm-resin-trocar-tray-kit-with-antiseptic-large-gloves-case-b1144-copy,industry:hrt-surgery
urgent-care,8691766362328,3-2mm-resin-trocar-tray-kit-with-antiseptic-large-gloves-case-b1144-copy,industry:urgent-care
clinics-doctors-offices,8691779010776,super-hydrophilic-vinyl-polysiloxane-putty-material-fast-set-myd-vp-8008,industry:clinic
clinics-doctors-offices,8692670824664,quidel-quickvue-sars-antigen-dipstick-cliawaived-qui-20387,industry:clinic
pharmacies,8692670824664,quidel-quickvue-sars-antigen-dipstick-cliawaived-qui-20387,industry:pharmacy
urgent-care,8692670824664,quidel-quickvue-sars-antigen-dipstick-cliawaived-qui-20387,industry:urgent-care
clinics-doctors-offices,8692676100312,instant-hand-sanitizing-wipes-medium-6-x-7-1-2-case-pdi-p13472,industry:clinic
urgent-care,8692676100312,instant-hand-sanitizing-wipes-medium-6-x-7-1-2-case-pdi-p13472,industry:urgent-care
clinics-doctors-offices,8692686520536,ansell-micro-touch-nitrile-exam-gloves-medium-case-ans-6034302,industry:clinic
urgent-care,8692686520536,ansell-micro-touch-nitrile-exam-gloves-medium-case-ans-6034302,industry:urgent-care
clinics-doctors-offices,8692692451544,vacutainer-glass-acd-solution-a-conventional-stopper-16mm-x-100mm-8-5ml-364606,industry:clinic
pharmacies,8692692451544,vacutainer-glass-acd-solution-a-conventional-stopper-16mm-x-100mm-8-5ml-364606,industry:pharmacy
urgent-care,8692692451544,vacutainer-glass-acd-solution-a-conventional-stopper-16mm-x-100mm-8-5ml-364606,industry:urgent-care
clinics-doctors-offices,8692699005144,3cc-cannula-with-syringe-blunt-tip-case-bec-303346,industry:clinic
urgent-care,8692699005144,3cc-cannula-with-syringe-blunt-tip-case-bec-303346,industry:urgent-care
clinics-doctors-offices,8692705657048,exel-hypodermic-needle-23g-x-1-case-exe-26408,industry:clinic
urgent-care,8692705657048,exel-hypodermic-needle-23g-x-1-case-exe-26408,industry:urgent-care
clinics-doctors-offices,8692868415704,alcohol-prep-pad-medium-2-ply,industry:clinic
urgent-care,8692868415704,alcohol-prep-pad-medium-2-ply,industry:urgent-care
clinics-doctors-offices,8692868546776,vinyl-polysiloxane-putty-kit-regular-set,industry:clinic
clinics-doctors-offices,8692868743384,fabric-adhesive-bandage-1-x-3-case,industry:clinic
home-health,8692868743384,fabric-adhesive-bandage-1-x-3-case,industry:home-care
urgent-care,8692868743384,fabric-adhesive-bandage-1-x-3-case,industry:urgent-care
clinics-doctors-offices,8692868776152,100-nitrile-exam-gloves-pf-text-finger-cobalt-blue-small,industry:clinic
urgent-care,8692868776152,100-nitrile-exam-gloves-pf-text-finger-cobalt-blue-small,industry:urgent-care
clinics-doctors-offices,8692869038296,syringe-with-needle-luer-lock-low-dead-space-3cc-23g-x-1-case,industry:clinic
urgent-care,8692869038296,syringe-with-needle-luer-lock-low-dead-space-3cc-23g-x-1-case,industry:urgent-care
clinics-doctors-offices,8692869234904,chloraprep-applicator-26-ml-clear-sterile,industry:clinic
urgent-care,8692869234904,chloraprep-applicator-26-ml-clear-sterile,industry:urgent-care
clinics-doctors-offices,8692869529816,30cc-syringe-luer-lok-case,industry:clinic
urgent-care,8692869529816,30cc-syringe-luer-lok-case,industry:urgent-care
clinics-doctors-offices,8692870152408,snip-skin-adhesive-0-2-ml-sterile,industry:clinic
home-health,8692870152408,snip-skin-adhesive-0-2-ml-sterile,industry:home-care
urgent-care,8692870152408,snip-skin-adhesive-0-2-ml-sterile,industry:urgent-care
clinics-doctors-offices,8692870250712,10cc-syringe-slip-tip-case,industry:clinic
urgent-care,8692870250712,10cc-syringe-slip-tip-case,industry:urgent-care
clinics-doctors-offices,8692870807768,ke-med-timer-pill-dispenser,industry:clinic
home-health,8692870807768,ke-med-timer-pill-dispenser,industry:home-care
clinics-doctors-offices,8692871463128,astm-level-1-precept-surgical-mask-tape-fog-shield-green,industry:clinic
urgent-care,8692871463128,astm-level-1-precept-surgical-mask-tape-fog-shield-green,industry:urgent-care
clinics-doctors-offices,8692871528664,kleenspec-590-series-disposable-vaginal-specula-led-x-small,industry:clinic
urgent-care,8692871528664,kleenspec-590-series-disposable-vaginal-specula-led-x-small,industry:urgent-care
clinics-doctors-offices,8692871626968,10cc-syringe-luer-lok-case,industry:clinic
urgent-care,8692871626968,10cc-syringe-luer-lok-case,industry:urgent-care
clinics-doctors-offices,8692871954648,5cc-syringe-luer-lock-case,industry:clinic
urgent-care,8692871954648,5cc-syringe-luer-lock-case,industry:urgent-care
clinics-doctors-offices,8692872118488,adtemp-412-60-second-digital-thermometer-bulk,industry:clinic
home-health,8692872118488,adtemp-412-60-second-digital-thermometer-bulk,industry:home-care
urgent-care,8692872118488,adtemp-412-60-second-digital-thermometer-bulk,industry:urgent-care
clinics-doctors-offices,8692872282328,veritor-plus-analyzer-otc,industry:clinic
pharmacies,8692872282328,veritor-plus-analyzer-otc,industry:pharmacy
urgent-care,8692872282328,veritor-plus-analyzer-otc,industry:urgent-care
clinics-doctors-offices,8692872380632,bionix-lighted-ear-curette-variety-pack,industry:clinic
home-health,8692872380632,bionix-lighted-ear-curette-variety-pack,industry:home-care
clinics-doctors-offices,8692872511704,5-series-upper-arm-blood-pressure-monitor,industry:clinic
urgent-care,8692872511704,5-series-upper-arm-blood-pressure-monitor,industry:urgent-care
clinics-doctors-offices,8692872544472,dental-floss-pick,industry:clinic
home-health,8692872544472,dental-floss-pick,industry:home-care
clinics-doctors-offices,8692872577240,bleach-germicidal-cleaner-32-oz-spray,industry:clinic
clinics-doctors-offices,8692872839384,20cc-syringe-luer-lok-case,industry:clinic
urgent-care,8692872839384,20cc-syringe-luer-lok-case,industry:urgent-care
clinics-doctors-offices,8692873068760,60cc-syringe-slip-tip-bulk-case,industry:clinic
urgent-care,8692873068760,60cc-syringe-slip-tip-bulk-case,industry:urgent-care
clinics-doctors-offices,8692873265368,chloraprep-applicator-frepp-1-5-ml-clear,industry:clinic
urgent-care,8692873265368,chloraprep-applicator-frepp-1-5-ml-clear,industry:urgent-care
clinics-doctors-offices,8692874051800,astm-level-3-earloop-mask-pink,industry:clinic
urgent-care,8692874051800,astm-level-3-earloop-mask-pink,industry:urgent-care
clinics-doctors-offices,8692874248408,kleenspec-590-series-disposable-vaginal-specula-led-medium,industry:clinic
urgent-care,8692874248408,kleenspec-590-series-disposable-vaginal-specula-led-medium,industry:urgent-care
clinics-doctors-offices,8692874576088,kleenspec-590-series-disposable-vaginal-specula-large,industry:clinic
urgent-care,8692874576088,kleenspec-590-series-disposable-vaginal-specula-large,industry:urgent-care
clinics-doctors-offices,8692874674392,circumcision-device-1-1-cm-sterile,industry:clinic
hrt-clinics,8692874674392,circumcision-device-1-1-cm-sterile,industry:hrt-surgery
urgent-care,8692874674392,circumcision-device-1-1-cm-sterile,industry:urgent-care
clinics-doctors-offices,8692875264216,3cc-syringe-luer-lok-bulk-case,industry:clinic
urgent-care,8692875264216,3cc-syringe-luer-lok-bulk-case,industry:urgent-care
clinics-doctors-offices,8692875985112,nitriderm-nitrile-exam-gloves-black-small-case,industry:clinic
urgent-care,8692875985112,nitriderm-nitrile-exam-gloves-black-small-case,industry:urgent-care
clinics-doctors-offices,8692876017880,sharps-container-sliding-lid-1-gal-red,industry:clinic
urgent-care,8692876017880,sharps-container-sliding-lid-1-gal-red,industry:urgent-care
clinics-doctors-offices,8692876116184,10-series-wireless-upper-arm-blood-pressure-monitor,industry:clinic
urgent-care,8692876116184,10-series-wireless-upper-arm-blood-pressure-monitor,industry:urgent-care
clinics-doctors-offices,8693220999384,dry-sterile-cleanroom-wipers-9-x-9-tcbwip09sp-20,industry:clinic
pharmacies,8693220999384,dry-sterile-cleanroom-wipers-9-x-9-tcbwip09sp-20,industry:pharmacy
clinics-doctors-offices,8693223882968,dry-sterile-cleanroom-wipers-9-x-9-tcbwip09sp-20-copy,industry:clinic
pharmacies,8693223882968,dry-sterile-cleanroom-wipers-9-x-9-tcbwip09sp-20-copy,industry:pharmacy
clinics-doctors-offices,8693234008280,dry-sterile-cleanroom-wipers-9-x-9-tcbwip09sp-20-copy-1,industry:clinic
pharmacies,8693234008280,dry-sterile-cleanroom-wipers-9-x-9-tcbwip09sp-20-copy-1,industry:pharmacy
clinics-doctors-offices,8693236203736,dry-sterile-cleanroom-wipers-12-x-12-tcbwip12sp-20,industry:clinic
pharmacies,8693236203736,dry-sterile-cleanroom-wipers-12-x-12-tcbwip12sp-20,industry:pharmacy
clinics-doctors-offices,8693239677144,sterile-cleanroom-coverall-level-3-tcbacv54st-r,industry:clinic
urgent-care,8693239677144,sterile-cleanroom-coverall-level-3-tcbacv54st-r,industry:urgent-care
clinics-doctors-offices,8693246197976,iv-administration-set-1-y-site-20-drops-ml-92-tcbinf001,industry:clinic
urgent-care,8693246197976,iv-administration-set-1-y-site-20-drops-ml-92-tcbinf001,industry:urgent-care
clinics-doctors-offices,8693262942424,accutest-12-panel-rapid-drug-test-cup-ds932,industry:clinic
pharmacies,8693262942424,accutest-12-panel-rapid-drug-test-cup-ds932,industry:pharmacy
urgent-care,8693262942424,accutest-12-panel-rapid-drug-test-cup-ds932,industry:urgent-care
clinics-doctors-offices,8693340733656,fingernail-clipper-with-file-case-fnc3268,industry:clinic
home-health,8693340733656,fingernail-clipper-with-file-case-fnc3268,industry:home-care
clinics-doctors-offices,8693957525720,oval-eye-pads-case-3360,industry:clinic
home-health,8693957525720,oval-eye-pads-case-3360,industry:home-care
urgent-care,8693957525720,oval-eye-pads-case-3360,industry:urgent-care
clinics-doctors-offices,8695976231128,sterile-butterfly-adhesive-bandages-1-2-x-2-3-4-large,industry:clinic
home-health,8695976231128,sterile-butterfly-adhesive-bandages-1-2-x-2-3-4-large,industry:home-care
